tab-separated fields are: coordinated universal date and time (it is nearly date and time of checkout), environment id, autobuild summary, code coverage summary, space-separated list of failed/crashed tests
Note: it is normal for w2k_vc6 autobuilds to have "bad_build" code coverage summary -- vc6 just crashes with internal error trying to compile instrumented tests.
02/03/04 xx:xx:xx	w2k_icc	failed	crashed_74.1	testSetStatistics
04/13/04 14:17:06	w2k_vc6	success	not_demanded	
04/13/04 22:20:01	w2k_vc6	success	bad_build	
04/14/04 22:20:02	w2k_vc6	success	bad_build	
04/16/04 22:20:09	w2k_icc	failed	74.6	testGaussianMRF2
04/19/04 12:53:46	w2k_icc	failed	74.7	testGaussianMRF2
04/19/04 22:20:56	w2k_icc	failed	75.4	testGaussianMRF2
04/20/04 22:20:02	w2k_vc6	crashed	bad_build	testGaussianMRF2 testGibbsInference testInfForRndBNet
04/21/04 22:20:02	w2k_vc6	failed	bad_build	testGaussianMRF2
04/22/04 22:20:01	w2k_icc	failed	75.5	testGaussianMRF2
04/23/04 22:20:02	w2k_icc	failed	75.5	testGaussianMRF2
04/26/04 22:20:54	w2k_icc	failed	75.4	testGaussianMRF2
04/27/04 22:20:02	w2k_icc	success	crashed_27.2	
04/28/04 22:20:02	w2k_icc	success	77.0	
04/29/04 22:20:02	w2k_icc	success	75.9	
04/30/04 22:20:02	w2k_icc	success	75.9	
05/03/04 22:20:02	w2k_icc	success	75.9	
05/05/04 22:20:02	w2k_vc6	success	bad_build	
05/06/04 22:20:57	w2k_vc6	success	bad_build	
05/07/04 22:20:02	w2k_vc6	success	bad_build	
05/08/04 22:20:01	w2k_vc6	success	bad_build	
05/09/04 22:20:01	w2k_vc6	success	bad_build	
05/10/04 22:20:02	w2k_icc	success	75.8	
05/11/04 22:20:02	w2k_icc	failed	75.8	testMixtureGaussianLearning
05/12/04 22:20:11	w2k_icc	success	75.9	
05/13/04 22:20:01	w2k_icc	success	75.9	
05/14/04 22:20:02	w2k_icc	success	75.9	
05/17/04 22:20:04	w2k_icc	success	75.8	
05/19/04 22:20:08	w2k_icc	success	75.8	
05/20/04 22:20:03	w2k_icc	success	75.9	
05/21/04 22:20:02	w2k_vc6	failed	bad_build	testBKInfUsingClusters
05/22/04 22:20:01	w2k_vc6	success	bad_build	
05/23/04 22:20:02	w2k_vc6	success	bad_build	
05/24/04 22:20:01	w2k_icc	success	75.9	
05/25/04 22:20:02	w2k_icc	success	75.9	
05/26/04 22:20:01	w2k_icc	success	75.9	
05/27/04 22:20:02	w2k_icc	failed	75.9	testGibbsInference
05/28/04 22:20:02	w2k_icc	success	75.9	
05/29/04 22:20:01	w2k_icc	success	75.8	
05/31/04 22:20:01	w2k_icc	success	75.8	
06/01/04 22:20:01	w2k_icc	success	crashed_73.9	
06/02/04 22:20:02	w2k_icc	success	75.9	
06/03/04 22:20:02	w2k_icc	success	75.7	
06/06/04 22:20:01	w2k_icc	success	75.7	
06/07/04 22:20:01	w2k_icc	crashed	75.7	testGaussianFactorLearningEngine
06/08/04 20:20:02	w2k_icc	failed	75.7	testLWInference
06/11/04 20:20:03	w2k_icc	success	75.8	
06/14/04 20:20:02	w2k_icc	success	75.7	
06/16/04 20:20:05	w2k_icc	success	75.7	
06/18/04 20:20:05	w2k_icc	success	75.7	
06/19/04 20:20:01	w2k_icc	crashed	75.7	testGaussianFactorLearningEngine
06/21/04 15:45:21	w2k_icc	bad_checkout	bad_checkout	
06/22/04 20:20:32	w2k_icc	success	72.7	
06/23/04 20:20:07	w2k_icc	success	72.7	
06/24/04 20:20:15	w2k_icc	crashed	crashed_18.0	testExLearnEngine testMixtureGaussianLearning
06/25/04 20:20:02	w2k_icc	crashed	crashed_18.0	testExLearnEngine
06/27/04 20:20:33	w2k_icc	crashed	crashed_18.0	testExLearnEngine
06/28/04 20:20:01	w2k_icc	crashed	bad_build	testExLearnEngine
06/30/04 04:44:09	w2k_icc	crashed	bad_build	testExLearnEngine
06/30/04 20:20:02	w2k_icc	crashed	bad_build	testExLearnEngine
07/01/04 20:20:02	w2k_icc	success	bad_build	
07/02/04 20:20:02	w2k_icc	success	bad_build	
07/03/04 20:20:02	w2k_icc	success	68.4	
07/05/04 20:20:03	w2k_icc	success	68.4	
07/06/04 20:20:02	w2k_icc	success	68.4	
07/07/04 20:20:01	w2k_vc6	failed	bad_build	testGibbsInference
07/08/04 20:20:02	w2k_vc6	failed	bad_build	testLWInference
07/09/04 20:20:02	w2k_vc6	success	bad_build	
07/10/04 20:20:04	w2k_vc6	success	bad_build	
